Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,Best Users
Radiant Nashor's Tooth,S,4.00,-0.50,17.5%,"35,056",0.3%,"Seraphine, Aurelion Sol, Lux, Mel , Bard "
Tactician's Crown,S,4.04,-0.46,16.9%,"785,309",4.7%,"Seraphine, Milio, Azir, Orianna , Kindred"
Gold Collector,S,4.07,-0.43,16.6%,"68,470",0.5%,"Yunara, Kalista , Kindred, Lucian & Senna, Miss Fortune"
Hellfire Hatchet,S,4.09,-0.41,16.8%,"70,097",0.5%,"Ornn, Volibear , Shyvana, Ambessa, Warwick"
Titanic Hydra,S,4.11,-0.39,16.7%,"47,508",0.4%,"Volibear , Warwick, Sion, Ambessa, Bel'Veth"
Radiant Hextech Gunblade,S,4.13,-0.37,15.1%,"25,798",0.2%,"Kai'Sa , Veigar, Lux, Seraphine, Brock"
Flickerblades,S,4.13,-0.37,14.6%,"139,892",1.0%,"Yunara, Kai'Sa , Kindred, Bel'Veth, Jinx"
Zhonya's Paradox,S,4.14,-0.36,15.6%,"59,781",0.4%,"Thresh , Fiddlesticks, Ornn, Sett, Swain"
Guinsoo's Rageblade,S,4.36,-0.35,13.2%,"9,181,716",55.2%,"Yunara, Kai'Sa , Kindred, Ziggs , Jinx"
Death's Defiance,S,4.17,-0.33,14.2%,"85,870",0.6%,"Ambessa, Shyvana, Warwick, Ornn, Aatrox "
Sunfire Cape,S,4.24,-0.33,14.3%,"7,170,039",43.1%,"Wukong, Rift Herald , Swain, Kennen , Braum"
Radiant Rabadon's Deathcap,S,4.18,-0.32,15.5%,"38,768",0.3%,"Veigar, Lux, Seraphine, Nidalee , Mel "
Spirit Visage,S,4.23,-0.32,14.0%,"6,946,595",41.8%,"Wukong, Rift Herald , Swain, Garen, Braum"
Jeweled Gauntlet,S,4.35,-0.31,13.4%,"7,995,022",48.1%,"Seraphine, Lux, Sett, Kai'Sa , Lissandra"
Radiant Kraken's Fury,S,4.20,-0.30,13.2%,"31,069",0.2%,"Yunara, Bel'Veth, Kindred, Aphelios, Jinx"
Infinity Force,A,4.21,-0.29,13.3%,"171,191",1.3%,"Ambessa, Warwick, Shyvana, Sett, Bel'Veth"
Lich Bane,A,4.22,-0.28,12.9%,"77,605",0.6%,"Seraphine, Fizz, Kai'Sa , Lux, Azir"
Spear of Shojin,A,4.30,-0.28,14.3%,"6,522,086",39.2%,"Lissandra, Seraphine, Kalista , Lux, Veigar"
Bloodthirster,A,4.27,-0.27,13.8%,"6,206,364",37.3%,"Ambessa, Warwick, Thresh , Shyvana, Aatrox "
Thief's Gloves,A,4.08,-0.27,15.5%,"4,935,077",29.7%,"Swain, Shyvana, Taric, Fiddlesticks, Sett"
The Indomitable,A,4.23,-0.27,13.8%,"97,144",0.7%,"Ornn, Braum, Wukong, Swain, Rift Herald "
Wit's End,A,4.23,-0.27,13.3%,"73,561",0.5%,"Kai'Sa , Thresh , Sett, Bel'Veth, Ornn"
