Name,Cost,Role,Traits,Ability,Mana,Description,Unlock
Aurelion Sol,7,Magic Caster,"Star Forger, Targon",The Skies Descend,0/85,"Passive: For every 250 ability damage dealt to enemies in player combat, gain Stardust. Stardust makes The Skies Descend more powerful. (Current Stardust: X) Active: Crash a star on target, dealing 480/800/5000 ( ) magic damage in a 2 hex radius. Stardust Upgrades: 25 : Create a shockwave that deals 100/150/1000 ( ) additional magic damage in a 3 Hex radius. 60 : The star crash deals 15 % more damage. 140 : Shockwave increases to a 4 hex radius. 200 : Knock up targets in the star crash for 1.5 seconds. 300 : Shockwave increases to 10 radius. 550 : The star crash deals 33 % bonus true damage. 800 : Also call down a meteor storm that deals 500/750/9999 ( ) magic damage split between living enemies. 1444 : Summon a black hole at the epicenter, instantly killing enemies within. Damage: 480/800/5000 ( ) Shockwave Damage: 100/150/1000 ( ) Meteor Storm Damage: 500/750/9999 ( )",5 uniqueTargonians
Baron Nashor,7,Attack Fighter,"Void, Riftscourge",Wrath of the Void,0/50,"Passive: Immune to Crowd Control effects. Attacks deal damage in a line on target. If no enemies are in range, dash to the next one and knock up adjacent enemies on arrival. While in the Void Rift, erupt a tentacle below a random enemy every 3/3/0.25 seconds that knocks them up for 1.5 seconds. Active: Slam and erect spikes in a 2 hex circle, dealing 280/420/20500 ( ) physical damage to enemies hit. Then over 3 seconds, spit 10 globs of acid that deal 112/189/10250 ( ) physical damage. Damage: 30/45/500 Damage: 280/420/20500 250/375/20000 ( ) + 30/45/500 ( ) Acid Damage: 112/189/10250 40/45/50 % of 280/420/20500",10 + Field 7 uniqueVoid units.
Brock,7,Attack Fighter,Ixtal,Seismic Slam,40/100,"Passive: Immune to crowd control effects. Attacks briefly knock up the target and deal 50 % damage in a 1 hex radius around them. Active: Slam the ground, dealing 186/265/1617 ( ) physical damage to ALL enemies, reduced by 15 % for each hex from the center (down to 40 %.) If this is the first time they've been hit by Seismic Slam this combat, knock them up for up to 1.75 seconds. 12/12/99 rocks fall around the battlefield, each dealing 220/405/700 ( ) physical damage to enemies hit. Slam Damage: 186/265/1617 2 % + 150/200/1500 ( ) Rock Damage: 20/30/100 Rock Damage: 220/405/700 200/375/600 ( ) + 20/30/100 ( )",Collect 500Ixtal Sunshards over the course of the game
Ryze,7,Magic Caster,Rune Mage,Runic Overload,0/45,"Release a runic blast, dealing 235/425/1500 ( ) magic damage. It splits in two, dealing 33 % of the damage to the closest two enemies. Each secondary blast splits an additional time. Bilgewater: Blasts explode on impact, dealing 25 % of the damage as physical damage to adjacent enemies. Demacia: Execute targets below 16% ( ) Health. Freljord: Chill targets for 4 seconds and deal 60/108/194 ( ) bonus true damage. Ionia: Blasts split an additional time, dealing 50 % damage. Ixtal: Gain a random Region's effect on combat start and every 10 seconds. Noxus: Blasts now pierce targets, dealing 60 % reduced damage per enemy hit. Piltover: Every third cast is Overcharged, dealing 40 % more damage. Shadow Isles: Increase blast damage by 5% ( ) . Shurima: Knock up enemies for 0.5 seconds, with a chance to dredge up Gold or Treasures. Targon: Heal the lowest Health ally for 10 % of the damage dealt. Void: Ignore 30 % of enemies' Armor and Magic Resistance. Yordle: Shrink targets hit, lowering their damage by 12 % percent for 4 seconds. Zaun: Poison targets, dealing 15/30/500 magic damage 3 ( ) times over 4 seconds. Damage: 235/425/1500 ( ) Demacia Execute: 16% 12 % + 1 per 5 Freljord Damage: 60/108/194 6 % max Shadow Isles Bonus Damage: 5% 5 % + 1 per 8 Zaun Damage: 15/30/500 Zaun Ticks: 3 3 + 1 per 40 % bonus",9 + 4 Region Traits together
Sylas,7,Magic Fighter,"Chainbreaker, Arcanist, Defender",Stolen Might,0/30,"Cast one of three spells: Cataclysm: Leap on a nearby enemy. Deal 120/200/1000 ( ) magic damage to all enemies within 2 hexes and Stun them for 1.5/1.75/30 seconds. Demacian Justice: Deal 700/1050/99999 ( ) magic damage to target. If they are below 15 % max Health, execute them. Final Spark: Gain 400/450/800 ( ) Shield for 1.25 seconds. Deal 300/475/1000 ( ) magic damage to all enemies in a line. Cataclysm Damage: 120/200/1000 ( ) Cataclysm Stun Duration 1.5/1.75/30 Demacian Justice Damage: 700/1050/99999 ( ) Shield: 400/450/800 ( ) Final Spark Damage: 300/475/1000 ( )",Sell a 2-star Jarvan IV + Sell a 2-star Garen + Sell a 2-star Lux
Zaahen,7,Attack Fighter,"Darkin, Immortal",Divine Challenge,0/40,"Dash around target and slash in a circle, dealing 110/165/1700 ( ) physical damage to target and 44/66/680 ( ) physical damage to all other adjacent enemies hit. If the target doesn't die, immediately cast again. If this Ability is cast 22 times in a row, instead slam on target, instantly killing them and dealing 220/330/3400 ( ) physical damage to all enemies within 3 hexes. Damage: 20/30/200 Damage: 110/165/1700 90/135/1500 ( ) + 20/30/200 ( ) Secondary Damage: 44/66/680 40 % of 110/165/1700 Slam Circle Damage: 220/330/3400 200 % of 110/165/1700",Have the 'Trials of Twilight' Augment + Field a 3-star Xin Zhao for 5 combats.
Aatrox,5,Attack Fighter,"Darkin, World Ender, Slayer",The Darkin Blade,0/20,"On cast, cycle through one of the following abilities: Slash in a line, dealing 110/210/2500 ( ) physical damage to enemies hit and 20% Sundering them for 4 seconds. Swipe in a cone, dealing 132/252/3000 ( ) physical damage to enemies hit and knocking them up for 1 second. Slam on target, dealing 176/336/4000 ( ) physical damage in a 1 hex circle. Targets below 15 % max Health are executed. Damage: 15/25/100 Slash Damage: 110/210/2500 95/185/2400 ( ) + 15/25/100 ( ) Swipe Damage: 132/252/3000 120 % of 110/210/2500 Slam Damage: 176/336/4000 160 % of 110/210/2500",8 + A champion who starts combat with 40%Omnivamp
Annie,5,Magic Caster,"Dark Child, Arcanist",Enraged Inferno,0/160,"Erupt the entire battlefield in flames, permanently Burning and Wounding all enemies and dealing 1500/2250/8000 ( ) magic damage to each of them over 45 seconds. Annie's max Mana is reduced by 140 for the rest of combat. Subsquent casts launch a fireball at target that deals 240/360/3000 ( ) magic damage. Burn: Deal a percent of the target's max Health as true damage every second Wound: Reduce healing received by 33% Damage: 1500/2250/8000 ( ) Secondary Damage: 240/360/3000 ( )",None
Azir,5,Magic Marksman,"Shurima, Emperor, Disruptor",Arise!,20/40,"Passive: After witnessing 3 attacks from Azir, Sand Soldiers deal 100/150/3000 ( ) magic damage to their target. Active: Summon a Sand Soldier near target and command them to strike. If 2 Soldiers are already out, they all immediately deal 70/105/5000 ( ) magic damage instead. Damage: 100/150/3000 ( ) Secondary Damage: 70/105/5000 ( )",None
Fiddlesticks,5,Magic Assassin,"Harvester, Vanquisher",Crowstorm,30/70,"Teleport into a large cluster of enemies within 2 hexes and Stun them for 1.25/1.25/99 seconds. Begin losing 22 mana per second. While casting, deal 100/150/6666 ( ) magic damage per second to all enemies within a 2 hex radius. The closest 2 enemies take 33 % more damage. Damage Per Second: 100/150/6666 ( )",None
